id,name,iata,icao,lat,lon,country,created_at,updated_at
,Gothenburg Landvetter Airport,GOT,ESGG,57.66283,12.27981,Sweden,,
,Girona Costa Brava Airport,GRO,LEGE,41.900959,2.760547,Spain,,
,Hamburg Airport,HAM,EDDH,53.630379,9.988228,Germany,,
,Helsinki Vantaa Airport,HEL,EFHK,60.317219,24.963329,Finland,,
,Frankfurt Hahn Airport,HHN,EDFH,49.948669,7.263892,Germany,,
,Kharkiv International Airport,HRK,UKHH,49.924782,36.289982,Ukraine,,
,Ibiza Airport,IBZ,LEIB,38.872849,1.373117,Spain,,
,Nis Constantine the Great Airport,INI,LYNI,43.33728,21.85372,Serbia,,
,Kyiv Boryspil International Airport,KBP,UKBB,50.345001,30.89472,Ukraine,,
,Kerry Airport,KIR,EIKY,52.18087,-9.52378,Ireland,,
,Krakow John Paul II International Airport,KRK,EPKK,50.077728,19.78483,Poland,,
,Kosice International Airport,KSC,LZKZ,48.663052,21.24111,Slovakia,,
,Katowice International Airport,KTW,EPKT,50.474251,19.080009,Poland,,
,Kaunas Airport,KUN,EYKA,54.963909,24.08477,Lithuania,,
,Leeds Bradford Airport,LBA,EGNM,53.865891,-1.66056,United Kingdom,,
,Lodz Wladyslaw Reymont Airport,LCJ,EPLL,51.721882,19.39813,Poland,,
,Tarbes-Lourdes-Pyrenees Airport,LDE,LFBT,43.185551,-0.00277,France,,
,London Gatwick Airport,LGW,EGKK,51.148048,-0.19027,United Kingdom,,
,Limoges Bellegarde Airport,LIG,LFBL,45.860828,1.180278,France,,
,Lille Airport,LIL,LFQQ,50.563332,3.086944,France,,
,Lisbon Humberto Delgado Airport,LIS,LPPT,38.781311,-9.13591,Portugal,,
,Gran Canaria Airport,LPA,GCLP,27.931881,-15.3865,Spain,,
,Liverpool John Lennon Airport,LPL,EGGP,53.333611,-2.84972,United Kingdom,,
,Lappeenranta Airport,LPP,EFLP,61.044552,28.14439,Finland,,
,La Rochelle Ile de Re Airport,LRH,LFBH,46.179211,-1.19523,France,,
,London Luton Airport,LTN,EGGW,51.874722,-0.36833,United Kingdom,,
,Luxembourg Findel Airport,LUX,ELLX,49.623329,6.204444,Luxembourg,,
,Lublin Airport,LUZ,EPLB,51.240002,22.713333,Poland,,
,Lviv Danylo Halytskyi International Airport,LWO,UKLL,49.8125,23.95611,Ukraine,,
,Lyon Saint Exupery Airport,LYS,LFLL,45.719643,5.089108,France,,
,Madrid Barajas Airport,MAD,LEMD,40.488701,-3.57,Spain,,
,Mahon Menorca Airport,MAH,LEMH,39.862591,4.218647,Spain,,
,Manchester Airport,MAN,EGCC,53.353741,-2.27495,United Kingdom,,
,Manchester Boston Regional Airport,MHT,KMHT,42.9328,-71.435699,United States,,
,Milwaukee General Mitchell International Airport,MKE,KMKE,42.94722,-87.8965,United States,,
,Luqa Malta International Airport,MLA,LMML,35.857491,14.4775,Malta,,
,Teesside International Airport,MME,EGNV,54.509178,-1.4294,United Kingdom,,
,Malmo Airport,MMX,ESMS,55.53019,13.37163,Sweden,,
,Minot International Airport,MOT,KMOT,48.257629,-101.278,United States,,
,Marseille Provence Airport,MRS,LFML,43.436661,5.215,France,,
