Agent,16,17,18,19,15,12,4,22,23,24,25,2,20,21
2022-02-01,6:00-17:00,X,X,X,X,X,12:00-23:00,12:00-23:00,6:00-17:00,12:00-23:00,X,X,X,07:00-18:00
2022-02-02,6:00-17:00,X,X,X,X,6:00-17:00,12:00-23:00,12:00-23:00,6:00-17:00,X,X,X,X,07:00-18:00
2022-02-03,6:00-17:00,X,X,X,X,6:00-17:00,12:00-23:00,13:00-24:00,6:00-17:00,X,6:00-17:00,07:00-18:00,X,X
2022-02-04,6:00-17:00,13:00-24:00,X,13:00-24:00,X,6:00-17:00,X,13:00-24:00,X,X,6:00-17:00,07:00-18:00,X,X
2022-02-05,X,13:00-24:00,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,X,6:00-17:00,07:00-18:00,11:00-22:00,X
2022-02-06,X,13:00-24:00,6:00-17:00,13:00-24:00,6:00-17:00,X,X,X,X,13:00-24:00,6:00-17:00,07:00-18:00,11:00-22:00,X
2022-02-07,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,X,12:00-23:00,X,X,11:00-22:00,07:00-18:00
2022-02-08,X,X,6:00-17:00,X,6:00-17:00,X,6:00-17:00,X,12:00-23:00,12:00-23:00,X,X,11:00-22:00,07:00-18:00
2022-02-09,12:00-23:00,X,X,X,X,X,6:00-17:00,6:00-17:00,12:00-23:00,12:00-23:00,X,X,X,07:00-18:00
2022-02-10,13:00-24:00,X,X,X,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,X,07:00-18:00
2022-02-11,13:00-24:00,X,X,X,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,X,13:00-24:00,07:00-18:00,X,X
2022-02-12,13:00-24:00,13:00-24:00,X,13:00-24:00,X,6:00-17:00,X,6:00-17:00,X,X,13:00-24:00,11:00-22:00,X,X
2022-02-13,X,13:00-24:00,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,X,13:00-24:00,11:00-22:00,07:00-18:00,X
2022-02-14,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,X,6:00-17:00,13:00-24:00,10:00-21:00,07:00-18:00,X
2022-02-15,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,X,6:00-17:00,X,X,07:00-18:00,10:00-21:00
2022-02-16,X,X,12:00-23:00,X,6:00-17:00,X,6:00-17:00,X,12:00-23:00,6:00-17:00,X,X,07:00-18:00,10:00-21:00
2022-02-17,13:00-24:00,X,X,X,X,X,6:00-17:00,6:00-17:00,13:00-24:00,6:00-17:00,X,X,X,11:00-22:00
2022-02-18,13:00-24:00,X,X,X,X,13:00-24:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,X,11:00-22:00
2022-02-19,13:00-24:00,X,X,X,X,13:00-24:00,6:00-17:00,6:00-17:00,13:00-24:00,X,13:00-24:00,11:00-22:00,X,X
2022-02-20,13:00-24:00,13:00-24:00,X,13:00-24:00,X,13:00-24:00,X,6:00-17:00,X,X,13:00-24:00,11:00-22:00,X,X
2022-02-21,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,12:00-23:00,X,X,6:00-17:00,X,12:00-23:00,10:00-21:00,07:00-18:00,X
2022-02-22,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,6:00-17:00,6:00-17:00,12:00-23:00,10:00-21:00,07:00-18:00,X
2022-02-23,X,12:00-23:00,6:00-17:00,12:00-23:00,12:00-23:00,X,X,X,6:00-17:00,6:00-17:00,X,X,07:00-18:00,10:00-21:00
2022-02-24,X,X,6:00-17:00,X,13:00-24:00,X,13:00-24:00,X,6:00-17:00,6:00-17:00,X,X,07:00-18:00,11:00-22:00
2022-02-25,6:00-17:00,X,X,X,X,X,13:00-24:00,13:00-24:00,X,6:00-17:00,X,X,X,11:00-22:00
2022-02-26,6:00-17:00,X,X,X,X,6:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,X,11:00-22:00
2022-02-27,6:00-17:00,X,X,X,X,6:00-17:00,13:00-24:00,13:00-24:00,X,X,6:00-17:00,07:00-18:00,X,X
